Issue ID,Issue Type,Summary,Description,Priority,Story Points,Original Estimate,Epic Name,Epic Link,Parent ID,Labels,Depends On
STORY-076,Story,[STORY-076] Onboarding Health & Recovery,"Как Team Lead, я хочу видеть где клиенты дропаются в онбординге, чтобы улучшать конверсию setup.

Acceptance Criteria:
- AC1: Метрики `step_completion_rate`, `step_time`, `drop_off_reason`.
- AC2: Автоматические nudges при простое на шаге >24h.
- AC3: Экспорт cohort onboarding report.

Зависит от: [STORY-073], [STORY-075]

Epic: EPIC-13",High,5,,,EPIC-13,EPIC-13,"crm-prd,backlog,epic-13,story-076","[STORY-073], [STORY-075]"
STORY-077,Story,[STORY-077] One-click Test Lead & Go-live Gate,"Как Network Admin, я хочу запускать один тестовый лид и получать check-list готовности, чтобы безопасно выйти в прод.

Acceptance Criteria:
- AC1: Кнопка `Send test lead` проходит полный путь intake->routing->broker->status.
- AC2: Go-live gate требует 100% прохождения обязательных проверок.
- AC3: При fail выводится actionable чеклист исправлений.

Зависит от: [STORY-073], [STORY-074]

Epic: EPIC-13",Highest,5,,,EPIC-13,EPIC-13,"crm-prd,backlog,epic-13,story-077","[STORY-073], [STORY-074]"
STORY-078,Story,[STORY-078] Custom Report Builder,"Как Team Lead, я хочу собирать кастомные отчеты по метрикам и измерениям, чтобы получать ответы под конкретные бизнес-вопросы.

Acceptance Criteria:
- AC1: `POST /api/v1/bi/reports` поддерживает выбор `metrics[]`, `dimensions[]`, `filters[]`, `time_range`.
- AC2: Ограничение: до 10 метрик и 8 измерений на отчет.
- AC3: Превью отчета генерируется `<3s p95`.

Зависит от: [STORY-057], [STORY-058]

Epic: EPIC-14",Highest,8,,,EPIC-14,EPIC-14,"crm-prd,backlog,epic-14,story-078","[STORY-057], [STORY-058]"
STORY-079,Story,[STORY-079] Dashboard Constructor,"Как Team Lead, я хочу собирать собственные дашборды из виджетов, чтобы мониторить именно свои KPI.

Acceptance Criteria:
- AC1: Поддержка widget типов: KPI, line, bar, table, heatmap.
- AC2: До 20 виджетов на дашборд, сохранение layout.
- AC3: Загрузка дашборда `<2s p95`.

Зависит от: [STORY-078]

Epic: EPIC-14",Highest,8,,,EPIC-14,EPIC-14,"crm-prd,backlog,epic-14,story-079",[STORY-078]
STORY-080,Story,[STORY-080] Period Comparison & Trend Analysis,"Как Finance Manager, я хочу сравнивать периоды, чтобы понимать динамику качества и прибыльности трафика.

Acceptance Criteria:
- AC1: Сравнение `current vs previous` и `YoY` для выбранных метрик.
- AC2: Поддержка абсолютного и процентного delta.
- AC3: API `GET /api/v1/bi/compare` отвечает `<2s p95` за 1 год данных.

Зависит от: [STORY-058], [STORY-059]

Epic: EPIC-14",Highest,5,,,EPIC-14,EPIC-14,"crm-prd,backlog,epic-14,story-080","[STORY-058], [STORY-059]"
STORY-081,Story,[STORY-081] Scheduled Email Reports,"Как Team Lead, я хочу получать scheduled отчеты по email, чтобы регулярно отслеживать KPI без ручного входа в систему.

Acceptance Criteria:
- AC1: Расписания `daily/weekly/monthly` с timezone-aware отправкой.
- AC2: Форматы вложений `csv/xlsx/pdf`.
- AC3: Неуспешная отправка retry 3 раза, затем alert.

Зависит от: [STORY-078], [STORY-064]

Epic: EPIC-14",High,5,,,EPIC-14,EPIC-14,"crm-prd,backlog,epic-14,story-081","[STORY-078], [STORY-064]"
STORY-082,Story,[STORY-082] Advanced Export Pack (CSV/Excel/PDF),"Как Finance Manager, я хочу расширенный экспорт BI-отчетов, чтобы делиться аналитикой с внешними стейкхолдерами.

Acceptance Criteria:
- AC1: Один экспорт может включать до 10 отчетов.
- AC2: PDF поддерживает брендирование (лого + title).
- AC3: Срок жизни ссылки на экспорт `24h`, после этого `410 gone`.

Зависит от: [STORY-078], [STORY-079]

Epic: EPIC-14",High,3,,,EPIC-14,EPIC-14,"crm-prd,backlog,epic-14,story-082","[STORY-078], [STORY-079]"
STORY-083,Story,[STORY-083] Mobile App Shell (iOS/Android/PWA),"Как Media Buyer, я хочу мобильное приложение/PWA, чтобы следить за показателями на ходу.

Acceptance Criteria:
- AC1: Поддержка iOS/Android (или PWA) с secure login и biometric unlock.
- AC2: Cold start приложения `<3s`.
- AC3: Сессия синхронизирована с веб-авторизацией и RBAC.

Зависит от: [STORY-036], [STORY-037]

Epic: EPIC-15",Highest,8,,,EPIC-15,EPIC-15,"crm-prd,backlog,epic-15,story-083","[STORY-036], [STORY-037]"
STORY-084,Story,[STORY-084] Realtime KPI Mobile View,"Как Team Lead, я хочу видеть ключевые KPI на мобильном, чтобы контролировать бизнес в реальном времени.

Acceptance Criteria:
- AC1: KPI `leads`, `ftd`, `revenue`, `pnl`, `reject_rate` обновляются каждые 30 секунд.
- AC2: Поддержан выбор периода и quick filters.
- AC3: Время загрузки экрана KPI `<1.5s p95`.

Зависит от: [STORY-056], [STORY-057]

Epic: EPIC-15",Highest,5,,,EPIC-15,EPIC-15,"crm-prd,backlog,epic-15,story-084","[STORY-056], [STORY-057]"
STORY-085,Story,[STORY-085] Mobile Alerts Center,"Как Media Buyer, я хочу получать и просматривать critical alerts в приложении, чтобы реагировать сразу.

Acceptance Criteria:
- AC1: Push-уведомления по critical событиям приходят `<30s p95`.
- AC2: In-app центр алертов хранит историю 30 дней.
- AC3: Можно mute канал на 1h/24h/7d.

Зависит от: [STORY-063], [STORY-066]

Epic: EPIC-15",Highest,5,,,EPIC-15,EPIC-15,"crm-prd,backlog,epic-15,story-085","[STORY-063], [STORY-066]"
STORY-086,Story,[STORY-086] Quick Cap Controls,"Как Team Lead, я хочу быстро менять капы с мобильного, чтобы оперативно управлять трафиком в пике.

Acceptance Criteria:
- AC1: Быстрые действия `+10%`, `-10%`, `pause flow`.
- AC2: Изменения применяются `<30s`.
- AC3: Для критичных изменений требуется 2FA confirmation.

Зависит от: [STORY-018], [STORY-037]

Epic: EPIC-15",High,5,,,EPIC-15,EPIC-15,"crm-prd,backlog,epic-15,story-086","[STORY-018], [STORY-037]"
STORY-087,Story,[STORY-087] Mobile Offline Snapshot,"Как Media Buyer, я хочу видеть последний snapshot метрик офлайн, чтобы ориентироваться при плохой связи.

Acceptance Criteria:
- AC1: Последние KPI кэшируются локально на 24 часа.
- AC2: Отображается timestamp актуальности данных.
- AC3: При восстановлении сети snapshot автоматически обновляется.

Зависит от: [STORY-084]

Epic: EPIC-15",Medium,3,,,EPIC-15,EPIC-15,"crm-prd,backlog,epic-15,story-087",[STORY-084]
STORY-088,Story,[STORY-088] Public Template Catalog,"Как Developer, я хочу публичный каталог интеграций с поиском, чтобы быстро находить подходящих брокеров.

Acceptance Criteria:
- AC1: Публичный `GET /api/v1/marketplace/templates` с фильтрами `country`, `vertical`, `type`.
- AC2: Поиск по названию/тегам `<300ms p95`.
- AC3: Карточка включает совместимость и changelog.

Зависит от: [STORY-021]

Epic: EPIC-16",Highest,5,,,EPIC-16,EPIC-16,"crm-prd,backlog,epic-16,story-088",[STORY-021]
STORY-089,Story,[STORY-089] One-click Install Flow,"Как Affiliate Manager, я хочу устанавливать интеграцию в один клик, чтобы сокращать время подключения брокера.

Acceptance Criteria:
- AC1: `POST /api/v1/marketplace/templates/{id}/install` создает интеграцию с pre-filled mapping.
- AC2: Installation wizard завершает setup `<5 минут`.
- AC3: Ошибки установки возвращают actionable steps.

Зависит от: [STORY-088], [STORY-022]

Epic: EPIC-16",Highest,8,,,EPIC-16,EPIC-16,"crm-prd,backlog,epic-16,story-089","[STORY-088], [STORY-022]"
STORY-090,Story,[STORY-090] Community Submission Pipeline,"Как Developer, я хочу отправлять community интеграции, чтобы расширять экосистему.

Acceptance Criteria:
- AC1: `POST /api/v1/marketplace/submissions` принимает manifest + тестовые кейсы.
- AC2: Submission проходит automated validation и manual review.
- AC3: Статусы `submitted|in_review|approved|rejected` доступны автору.

Зависит от: [STORY-088]

Epic: EPIC-16",High,5,,,EPIC-16,EPIC-16,"crm-prd,backlog,epic-16,story-090",[STORY-088]
STORY-091,Story,[STORY-091] Ratings & Reviews,"Как Affiliate Manager, я хочу видеть рейтинг и отзывы интеграций, чтобы выбирать надежные шаблоны.

Acceptance Criteria:
- AC1: `POST /api/v1/marketplace/templates/{id}/reviews` с `rating 1..5`, `comment`.
- AC2: В рейтинге учитываются только verified installs.
- AC3: Модерация скрывает токсичный/спам контент.

Зависит от: [STORY-089]

Epic: EPIC-16",High,3,,,EPIC-16,EPIC-16,"crm-prd,backlog,epic-16,story-091",[STORY-089]
STORY-092,Story,[STORY-092] Marketplace Compatibility Matrix,"Как Developer, я хочу матрицу совместимости версий, чтобы понимать риски при установке.

Acceptance Criteria:
- AC1: Шаблон маркируется по совместимости с версиями API CRM.
- AC2: Несовместимая установка блокируется с `409 incompatible_version`.
- AC3: Показ changelog между версиями шаблона.

Зависит от: [STORY-089], [STORY-104]

Epic: EPIC-16",High,5,,,EPIC-16,EPIC-16,"crm-prd,backlog,epic-16,story-092","[STORY-089], [STORY-104]"
STORY-093,Story,[STORY-093] Routing Weight Recommendations,"Как Network Admin, я хочу получать рекомендации по весам роутинга, чтобы улучшать конверсию на основе данных.

Acceptance Criteria:
- AC1: `GET /api/v1/routing/recommendations/weights` возвращает suggested weights по flow.
- AC2: Рекомендации учитывают минимум 14 дней исторических данных.
- AC3: Каждая рекомендация имеет confidence score `0..1`.

Зависит от: [STORY-016], [STORY-017], [STORY-057]

Epic: EPIC-17",Highest,8,,,EPIC-17,EPIC-17,"crm-prd,backlog,epic-17,story-093","[STORY-016], [STORY-017], [STORY-057]"
STORY-094,Story,[STORY-094] Cap Exhaustion Forecast v2,"Как Affiliate Manager, я хочу точнее предсказывать исчерпание капов, чтобы заранее переключать трафик.

Acceptance Criteria:
- AC1: Forecast horizon до 24 часов вперед.
- AC2: MAPE улучшен до `<=15%`.
- AC3: Рекомендации по action: `increase_cap`, `reroute`, `pause_source`.

Зависит от: [STORY-062]

Epic: EPIC-17",Highest,5,,,EPIC-17,EPIC-17,"crm-prd,backlog,epic-17,story-094",[STORY-062]
STORY-095,Story,[STORY-095] Broker Degradation Auto-switch,"Как Team Lead, я хочу авто-переключение на backup при деградации брокера, чтобы сохранять конверсию.

Acceptance Criteria:
- AC1: Trigger: `error_rate >5%` или `latency_p95 >3s` за 10 минут.
- AC2: Авто-switch выполняется в течение `<60s` после срабатывания триггера.
- AC3: Все авто-переключения логируются и обратимы.

Зависит от: [STORY-019], [STORY-025]

Epic: EPIC-17",Highest,8,,,EPIC-17,EPIC-17,"crm-prd,backlog,epic-17,story-095","[STORY-019], [STORY-025]"
STORY-096,Story,[STORY-096] What-if Routing Simulator,"Как Network Admin, я хочу what-if симуляции, чтобы оценивать эффект изменений до применения.

Acceptance Criteria:
- AC1: `POST /api/v1/routing/what-if` принимает proposed config и исторический период.
- AC2: Возвращает прогноз impact по `conversion`, `revenue`, `pnl`.
- AC3: Расчет по 30 дням истории `<60s`.

Зависит от: [STORY-020], [STORY-093]

Epic: EPIC-17",High,5,,,EPIC-17,EPIC-17,"crm-prd,backlog,epic-17,story-096","[STORY-020], [STORY-093]"
STORY-097,Story,[STORY-097] Human-in-the-loop Approval,"Как Network Admin, я хочу подтверждать AI-рекомендации перед применением, чтобы сохранить контроль и безопасность.

Acceptance Criteria:
- AC1: AI changes по умолчанию `proposed`, не `auto-applied`.
- AC2: Endpoint `POST /api/v1/routing/recommendations/{id}/approve|reject`.
- AC3: Все решения по AI-рекомендациям аудируются.

Зависит от: [STORY-093], [STORY-095]

Epic: EPIC-17",Highest,5,,,EPIC-17,EPIC-17,"crm-prd,backlog,epic-17,story-097","[STORY-093], [STORY-095]"
STORY-098,Story,[STORY-098] Unified Status Taxonomy,"Как Network Admin, я хочу единую классификацию статусов, чтобы сравнивать брокеров на одном языке.

Acceptance Criteria:
- AC1: Группы: `new`, `in_progress`, `qualified`, `ftd`, `rejected`, `reversed`, `unknown`.
- AC2: `GET /api/v1/status-groups` возвращает активную таксономию.
- AC3: Изменение таксономии versioned и backward compatible.

Зависит от: [STORY-024]

Epic: EPIC-18",Highest,5,,,EPIC-18,EPIC-18,"crm-prd,backlog,epic-18,story-098",[STORY-024]
STORY-099,Story,[STORY-099] Broker Status Mapping Rules,"Как Affiliate Manager, я хочу маппить статусы каждого брокера в unified groups, чтобы аналитика была сопоставимой.

Acceptance Criteria:
- AC1: `PUT /api/v1/brokers/{id}/status-mapping` с таблицей `broker_status -> normalized_group`.
- AC2: unmapped status попадает в `unknown` и флагируется.
- AC3: Mapping changes применяются за `<60s`.

Зависит от: [STORY-098]

Epic: EPIC-18",Highest,5,,,EPIC-18,EPIC-18,"crm-prd,backlog,epic-18,story-099",[STORY-098]
STORY-100,Story,[STORY-100] Shave Pattern Detection Engine,"Как Finance Manager, я хочу автоматически детектить shaving-паттерны, чтобы быстро выявлять риск недобросовестных брокеров.

Acceptance Criteria:
- AC1: Детектируются rollback цепочки по normalized statuses.
- AC2: Threshold rule: `rollback_rate >2%` за 24h -> warning.
- AC3: API `GET /api/v1/shave/events` возвращает детализированные кейсы.

Зависит от: [STORY-098], [STORY-099]

Epic: EPIC-18",Highest,8,,,EPIC-18,EPIC-18,"crm-prd,backlog,epic-18,story-100","[STORY-098], [STORY-099]"
STORY-101,Story,[STORY-101] Shave Alerts & Case Management,"Как Team Lead, я хочу алерты и workflow расследования shaving-кейсов, чтобы быстро принимать действия.

Acceptance Criteria:
- AC1: Critical alert при `rollback_rate >5%`.
- AC2: Кейс можно назначить владельцу и статусу `open|investigating|resolved`.
- AC3: SLA на triage кейса `<2 часа`.

Зависит от: [STORY-100], [STORY-063]

Epic: EPIC-18",High,5,,,EPIC-18,EPIC-18,"crm-prd,backlog,epic-18,story-101","[STORY-100], [STORY-063]"
STORY-102,Story,[STORY-102] Cross-Broker Normalized Analytics,"Как Finance Manager, я хочу сравнивать брокеров по нормализованным статусам, чтобы объективно оценивать их качество.

Acceptance Criteria:
- AC1: Отчет `GET /api/v1/analytics/brokers/normalized` по status groups.
- AC2: Поддержан compare period и ranking.
- AC3: Экспорт отчета в CSV/PDF.

Зависит от: [STORY-099], [STORY-100]

Epic: EPIC-18",Highest,5,,,EPIC-18,EPIC-18,"crm-prd,backlog,epic-18,story-102","[STORY-099], [STORY-100]"
STORY-103,Story,[STORY-103] Public OpenAPI Documentation,"Как Developer, я хочу публичную API-документацию, чтобы интегрироваться без ручного уточнения у поддержки.

Acceptance Criteria:
- AC1: Публичный `/docs` с OpenAPI 3.1 и примерами запросов/ответов.
- AC2: Каждая ошибка имеет `error_code` и `fix_hint`.
- AC3: Документация версионируется и доступна по версии.

Зависит от: [STORY-002]

Epic: EPIC-19",Highest,8,,,EPIC-19,EPIC-19,"crm-prd,backlog,epic-19,story-103",[STORY-002]
STORY-104,Story,"[STORY-104] SDKs (JavaScript, Python, PHP)","Как Developer, я хочу официальные SDK, чтобы быстрее подключаться к API.

Acceptance Criteria:
- AC1: Выпущены SDK для `JavaScript`, `Python`, `PHP`.
- AC2: SDK покрывают lead intake, status sync, webhooks.
- AC3: Версии SDK синхронизированы с API changelog.

Зависит от: [STORY-103]

Epic: EPIC-19",Highest,8,,,EPIC-19,EPIC-19,"crm-prd,backlog,epic-19,story-104",[STORY-103]
STORY-105,Story,[STORY-105] Sandbox Environment,"Как Developer, я хочу sandbox окружение, чтобы тестировать интеграцию без риска для production.

Acceptance Criteria:
- AC1: Отдельный sandbox host и test credentials.
- AC2: Детерминированные mock-ответы для ключевых endpoint.
- AC3: Sandbox data purge каждые 7 дней.

Зависит от: [STORY-008], [STORY-103]

Epic: EPIC-19",Highest,5,,,EPIC-19,EPIC-19,"crm-prd,backlog,epic-19,story-105","[STORY-008], [STORY-103]"
STORY-106,Story,[STORY-106] API Explorer in Browser,"Как Developer, я хочу запускать запросы к API из браузера, чтобы быстро тестировать endpoint без внешних инструментов.

Acceptance Criteria:
- AC1: Browser explorer поддерживает auth token и environment switch.
- AC2: Видны request/response samples и curl snippet.
- AC3: Ограничение rate-limit в explorer `<=60 req/min/user`.

Зависит от: [STORY-103], [STORY-105]

Epic: EPIC-19",High,5,,,EPIC-19,EPIC-19,"crm-prd,backlog,epic-19,story-106","[STORY-103], [STORY-105]"
STORY-107,Story,[STORY-107] API Changelog & Deprecation Policy,"Как Developer, я хочу прозрачный changelog API, чтобы планировать обновления без внезапных поломок.

Acceptance Criteria:
- AC1: Публичный changelog с типами изменений `breaking|feature|fix`.
- AC2: Breaking changes объявляются минимум за 90 дней.
- AC3: Endpoint deprecation помечается warning header.

Зависит от: [STORY-103]

Epic: EPIC-19",Highest,3,,,EPIC-19,EPIC-19,"crm-prd,backlog,epic-19,story-107",[STORY-103]
STORY-108,Story,[STORY-108] Custom Domain & SSL,"Как Network Admin, я хочу использовать кастомный домен, чтобы CRM выглядела как собственный продукт.

Acceptance Criteria:
- AC1: `POST /api/v1/whitelabel/domains` добавляет custom domain и запускает SSL валидацию.
- AC2: Автовыпуск SSL сертификата `<15 минут`.
- AC3: Невалидный DNS возвращает `422 dns_validation_failed`.

Зависит от: [STORY-039]

Epic: EPIC-20",Highest,8,,,EPIC-20,EPIC-20,"crm-prd,backlog,epic-20,story-108",[STORY-039]
STORY-109,Story,[STORY-109] Branding & Theme Customization,"Как Affiliate Manager, я хочу кастомизировать лого/цвета/название, чтобы продукт соответствовал бренду клиента.

Acceptance Criteria:
- AC1: `PUT /api/v1/whitelabel/branding` принимает logo, primary/secondary colors, app name.
- AC2: Изменения применяются в web/mobile интерфейсах `<5 минут`.
- AC3: Валидация контраста интерфейса соответствует AA.

Зависит от: [STORY-108]

Epic: EPIC-20",Highest,5,,,EPIC-20,EPIC-20,"crm-prd,backlog,epic-20,story-109",[STORY-108]
STORY-110,Story,[STORY-110] Isolated Enterprise Instances,"Как Network Admin, я хочу выделенный инстанс для enterprise, чтобы получить максимальную изоляцию и SLA.

Acceptance Criteria:
- AC1: Provisioning отдельного инстанса выполняется через `POST /api/v1/tenants/provision`.
- AC2: Данные, ключи и network plane полностью изолированы.
- AC3: Provisioning time `<2 часа` в стандартном сценарии.

Зависит от: [STORY-039], [STORY-108]

Epic: EPIC-20",Highest,8,,,EPIC-20,EPIC-20,"crm-prd,backlog,epic-20,story-110","[STORY-039], [STORY-108]"
STORY-111,Story,[STORY-111] Reseller Parent Account,"Как Network Admin, я хочу parent-account для реселлеров, чтобы управлять дочерними клиентами из одного кабинета.

Acceptance Criteria:
- AC1: Parent может создавать child tenants и назначать лимиты.
- AC2: Child data не видна между собой; parent видит агрегаты и scoped drill-down.
- AC3: Billing attribution работает по child tenant.

Зависит от: [STORY-110], [STORY-113]

Epic: EPIC-20",High,5,,,EPIC-20,EPIC-20,"crm-prd,backlog,epic-20,story-111","[STORY-110], [STORY-113]"
STORY-112,Story,[STORY-112] White-label Audit & Governance,"Как Network Admin, я хочу видеть изменения white-label конфигурации, чтобы контролировать безопасность и соответствие бренда.

Acceptance Criteria:
- AC1: Любое изменение домена/темы/tenant hierarchy попадает в audit.
- AC2: `GET /api/v1/whitelabel/audit` поддерживает фильтры actor/date/action.
- AC3: Export audit в CSV/PDF.

Зависит от: [STORY-108], [STORY-109], [STORY-111]

Epic: EPIC-20",High,3,,,EPIC-20,EPIC-20,"crm-prd,backlog,epic-20,story-112","[STORY-108], [STORY-109], [STORY-111]"
STORY-113,Story,[STORY-113] Plan Catalog & Subscription Lifecycle,"Как Network Admin, я хочу управлять тарифами и подписками, чтобы гибко монетизировать разные сегменты клиентов.

Acceptance Criteria:
- AC1: `POST /api/v1/billing/plans` и `POST /api/v1/billing/subscriptions`.
- AC2: Поддержаны billing cycles `monthly|quarterly|yearly`.
- AC3: Proration при mid-cycle upgrade/downgrade.

Зависит от: [STORY-070]

Epic: EPIC-21",Highest,8,,,EPIC-21,EPIC-21,"crm-prd,backlog,epic-21,story-113",[STORY-070]
STORY-114,Story,[STORY-114] Usage-based Billing (Fraud/Proxy),"Как Finance Manager, я хочу usage billing по fraud checks и proxy usage, чтобы монетизация отражала реальную нагрузку.

Acceptance Criteria:
- AC1: Метринг `fraud_checks_count`, `proxy_minutes`, `proxy_bandwidth`.
- AC2: Usage обновляется near-realtime (`<5 мин`).
- AC3: Спорные usage-начисления можно пересчитать за период.

Зависит от: [STORY-041], [STORY-048]

Epic: EPIC-21",Highest,8,,,EPIC-21,EPIC-21,"crm-prd,backlog,epic-21,story-114","[STORY-041], [STORY-048]"
STORY-115,Story,[STORY-115] Invoices & Payment Methods,"Как Finance Manager, я хочу автоматически получать инвойсы и принимать платежи, чтобы ускорить cashflow.

Acceptance Criteria:
- AC1: Инвойсы генерируются автоматически в день биллинга.
- AC2: Поддержка карт и bank transfer.
- AC3: При неуспешной оплате запускается dunning.

Зависит от: [STORY-113], [STORY-114]

Epic: EPIC-21",Highest,5,,,EPIC-21,EPIC-21,"crm-prd,backlog,epic-21,story-115","[STORY-113], [STORY-114]"
STORY-116,Story,[STORY-116] Add-on Modules Billing,"Как Network Admin, я хочу включать/выключать addon-модули, чтобы формировать кастомные пакеты для клиентов.

Acceptance Criteria:
- AC1: Addons: `advanced_analytics`, `mobile`, `smart_routing`, `smart_fraud`.
- AC2: Addon activation отражается в счете текущего/следующего периода.
- AC3: Feature-gating по addon статусу в runtime `<60s`.

Зависит от: [STORY-113]

Epic: EPIC-21",High,5,,,EPIC-21,EPIC-21,"crm-prd,backlog,epic-21,story-116",[STORY-113]
STORY-117,Story,[STORY-117] Dunning & Collections,"Как Finance Manager, я хочу автоматический dunning-процесс, чтобы снижать churn из-за неуспешных списаний.

Acceptance Criteria:
- AC1: Dunning steps: T+0, T+3, T+7, T+14 с уведомлениями.
- AC2: После T+14 account переводится в restricted mode.
- AC3: Оплата после restricted mode восстанавливает доступ `<10 минут`.

Зависит от: [STORY-115]

Epic: EPIC-21",High,3,,,EPIC-21,EPIC-21,"crm-prd,backlog,epic-21,story-117",[STORY-115]
STORY-118,Story,[STORY-118] SOC2 Control Framework,"Как Network Admin, я хочу внедрить SOC2-контроли, чтобы пройти аудит без блокеров.

Acceptance Criteria:
- AC1: Контрольные процедуры для access, change management, incident response документированы.
- AC2: Evidence collection автоматизирована.
- AC3: Ежемесячный compliance scorecard доступен.

Зависит от: [STORY-038], [STORY-040]

Epic: EPIC-22",Highest,8,,,EPIC-22,EPIC-22,"crm-prd,backlog,epic-22,story-118","[STORY-038], [STORY-040]"
STORY-119,Story,[STORY-119] GDPR Data Subject Requests,"Как Network Admin, я хочу обрабатывать GDPR-запросы (export/delete), чтобы соблюдать требования privacy.

Acceptance Criteria:
- AC1: `POST /api/v1/privacy/requests` с типами `export|delete|rectify`.
- AC2: SLA обработки запроса `<30 дней`.
- AC3: Удаление данных выполняется во всех связанных хранилищах.

Зависит от: [STORY-032], [STORY-039]

Epic: EPIC-22",Highest,8,,,EPIC-22,EPIC-22,"crm-prd,backlog,epic-22,story-119","[STORY-032], [STORY-039]"
STORY-120,Story,[STORY-120] Immutable Audit Logs,"Как Finance Manager, я хочу неизменяемые audit logs, чтобы расследования и проверки были юридически надежными.

Acceptance Criteria:
- AC1: Audit logs защищены от изменения (WORM/hash-chain).
- AC2: Поиск в audit log `<2s p95`.
- AC3: Ретеншн политики 1 год hot + 7 лет archive.

Зависит от: [STORY-010], [STORY-112]

Epic: EPIC-22",Highest,5,,,EPIC-22,EPIC-22,"crm-prd,backlog,epic-22,story-120","[STORY-010], [STORY-112]"
STORY-121,Story,[STORY-121] IP Whitelist & Session Security Policies,"Как Network Admin, я хочу централизованные security policies, чтобы управлять доступом к платформе по строгим правилам.

Acceptance Criteria:
- AC1: Политики `ip_whitelist`, `session_timeout`, `device_limit` на tenant-level.
- AC2: Нарушение политики блокирует действие с кодом `403 policy_violation`.
- AC3: Политики применяются `<60s`.

Зависит от: [STORY-040]

Epic: EPIC-22",Highest,5,,,EPIC-22,EPIC-22,"crm-prd,backlog,epic-22,story-121",[STORY-040]
STORY-122,Story,[STORY-122] Penetration Testing & Vulnerability Program,"Как Network Admin, я хочу регулярный pentest и процесс закрытия уязвимостей, чтобы поддерживать высокий security baseline.

Acceptance Criteria:
- AC1: Quarterly pentest с отчетом и remediation plan.
- AC2: High/Critical уязвимости закрываются `<7 дней`.
- AC3: `GET /api/v1/security/vulnerabilities` показывает статусы remediation.

Зависит от: [STORY-118]

Epic: EPIC-22",High,5,,,EPIC-22,EPIC-22,"crm-prd,backlog,epic-22,story-122",[STORY-118]
STORY-123,Story,[STORY-123] First-party Fraud ML Model,"Как Network Admin, я хочу ML-модель на собственных данных, чтобы точнее выявлять фрод, чем rule-based подход.

Acceptance Criteria:
- AC1: Модель обучается на собственном labeled dataset.
- AC2: Метрики валидации: AUC `>=0.92`, Recall(high-risk) `>=85%`.
- AC3: Inference endpoint `POST /api/v1/fraud/ml-score` отвечает `<150ms p95`.

Зависит от: [STORY-041], [STORY-044]

Epic: EPIC-23",Highest,8,,,EPIC-23,EPIC-23,"crm-prd,backlog,epic-23,story-123","[STORY-041], [STORY-044]"
STORY-124,Story,[STORY-124] Behavioral & Velocity Checks,"Как Affiliate Manager, я хочу behavioral и velocity анализ, чтобы ловить сложный фрод по паттернам поведения.

Acceptance Criteria:
- AC1: Checks: rapid form submit, repeated device patterns, velocity by IP/email/phone.
- AC2: Threshold rules настраиваются per-tenant.
- AC3: Сигналы входят в итоговый fraud score.

Зависит от: [STORY-123], [STORY-047]

Epic: EPIC-23",Highest,5,,,EPIC-23,EPIC-23,"crm-prd,backlog,epic-23,story-124","[STORY-123], [STORY-047]"
STORY-125,Story,[STORY-125] Shared Fraud Intelligence (Opt-in),"Как Network Admin, я хочу опционально использовать shared fraud intelligence, чтобы улучшать детекцию на основе межклиентских сигналов.

Acceptance Criteria:
- AC1: Участие только по явному opt-in.
- AC2: Сигналы агрегируются анонимно и без раскрытия клиентских PII.
- AC3: Можно отключить opt-in и удалить вклад данных по запросу.

Зависит от: [STORY-119], [STORY-123]

Epic: EPIC-23",High,8,,,EPIC-23,EPIC-23,"crm-prd,backlog,epic-23,story-125","[STORY-119], [STORY-123]"
STORY-126,Story,[STORY-126] Explainable Fraud Decisions,"Как Team Lead, я хочу explainability по ML-решениям, чтобы безопасно использовать автоматические блокировки.

Acceptance Criteria:
- AC1: Для каждого high-risk решения возвращаются top contributing features.
- AC2: `GET /api/v1/fraud/explanations/{lead_id}` доступен в UI.
- AC3: Explain response генерируется `<300ms p95`.

Зависит от: [STORY-123], [STORY-124]

Epic: EPIC-23",Highest,5,,,EPIC-23,EPIC-23,"crm-prd,backlog,epic-23,story-126","[STORY-123], [STORY-124]"
STORY-127,Story,[STORY-127] Model Monitoring & Retraining Governance,"Как Network Admin, я хочу мониторить drift и управлять переобучением модели, чтобы качество fraud detection не деградировало.

Acceptance Criteria:
- AC1: Drift monitoring по feature/stat distribution и performance metrics.
- AC2: Alert при AUC падении >5% относительно baseline.
- AC3: Retraining workflow требует approval перед promotion модели.

Зависит от: [STORY-123], [STORY-097]

Epic: EPIC-23",Highest,8,,,EPIC-23,EPIC-23,"crm-prd,backlog,epic-23,story-127","[STORY-123], [STORY-097]"
TASK-0001,Sub-task,[TASK-0001] Реализовать endpoint `POST /api/v1/leads`,"Тип: Backend

Описание: Добавить контроллер, auth middleware по API key, базовую валидацию payload и унифицированные ответы ошибок.

Критерии готовности (DoD):
- Endpoint возвращает `202/4xx/5xx` согласно контракту.
- OpenAPI-спека обновлена и проходит contract test.",Highest,,16h,,,STORY-001,"crm-prd,backlog,story-001,backend",
