index,start,end,text
510,2244.28,2249.28,"For example, if you have a broker that is not performing towards what you were expecting,"
511,2249.28,2252.28,"but you made some promises towards your partners,"
512,2252.28,2256.28,we often see that they want to fire an FDD to their partner.
513,2256.28,2261.28,The relationship stays in a good manner if you know what I mean.
514,2261.28,2265.28,You have to be an FDD column.
515,2265.28,2272.28,That is basically the timestamp of the broker where you can see when it was published.
516,2272.28,2278.28,Sometimes we fetched FDD at 1 o'clock but it was published at 12.50.
517,2278.28,2281.28,"For example, you can see the correct date."
518,2281.28,2285.28,You can see if it is a real conversion or not because you can fire fakes as we call it.
519,2285.28,2294.28,If you manually fire something and then you move on with some revenue payout and auto log information.
520,2294.28,2297.28,"For example, here you can see the color green."
521,2297.28,2301.28,I am on this row and you can see revenue and payout.
522,2301.28,2307.28,"If something was misconfigured, you always have the option to edit the revenue and payout."
523,2307.28,2310.28,"For example, this was supposed to be 900."
524,2310.28,2313.28,You can change it retroactively.
525,2313.28,2319.28,"The auto log information on the demo, everything is no, but here you can see yes or no."
526,2319.28,2323.28,"The auto log end link, the user was sent to."
527,2323.28,2327.28,You can always check it if you need to.
528,2327.28,2331.28,"Apart from that, let me see, do we have something I should show you?"
529,2331.28,2334.28,You can see the blockage reason.
530,2334.28,2336.28,You have stability.
531,2336.28,2338.28,You send the language with the lead.
532,2338.28,2341.28,"For example, in Belgium you have Dutch and French."
533,2341.28,2344.28,The blockage reason is something interesting.
534,2344.28,2347.28,It does not have any data on the demo environment.
535,2347.28,2350.28,"Basically, when a lead is blocked, it will show the reason here."
536,2350.28,2354.28,"A general one, there were no brokers available."
537,2354.28,2360.28,There was an island that says some more to capture a fool or something like that.
538,2360.28,2362.28,I will always show here.
539,2362.28,2369.28,"Something you asked about, but it is not available in the demo, is our fraud analysis."
540,2369.28,2372.28,We have a feature that we can enable.
541,2372.28,2378.28,Then you will see a fraud score in this table and in the reports as well.
542,2379.28,2381.28,It does several checks.
543,2381.28,2387.28,"We use several external services to analyze the IP, email and phone number."
544,2387.28,2393.28,"We get back data, like if it is using a proxy or using a VPN."
545,2393.28,2399.28,"The highly, how do they, what is the right term?"
546,2399.28,2401.28,The fraud possibility.
547,2401.28,2402.28,It is like an indicator.
548,2402.28,2405.28,It gives you a score from 0 to 100.
549,2405.28,2413.28,"You can set up the rules however you want, but the defaults are that if a lead is coming from a VPN or proxy"
550,2413.28,2418.28,"and their fraud possibility is higher than 70, the lead is blocked."
551,2418.28,2420.28,You can tweak this however you want.
552,2420.28,2423.28,"If you do not want to block the lead, you can disable it, but still view it."
553,2423.28,2430.28,"If you want to be more strict, you can set up more strict however you want, but that is the fraud analysis."
554,2430.28,2438.28,You can check the informational button and it will show you like this lead came through proxy or came through VPN.
555,2438.28,2446.28,I always tell the clients these are external databases and those services work hard.
556,2446.28,2452.28,"On keeping data as accurate as possible, is it 100% bulletproof? No."
557,2453.28,2456.28,You need to take it with a grain of salt.
558,2456.28,2466.28,"If you work with a partner and you can see out of 100 leads, 80 of his leads are giving you a fraud possibility of more than 70."
559,2466.28,2468.28,You know something is up.
560,2468.28,2478.28,"If it happens for one or two leads out of 100 leads, it all depends on how you work of course, but you can probably neglect it."
561,2478.28,2482.28,You need to learn to work with it.
562,2482.28,2487.28,It is extra information that you can take into account in your partnerships.
563,2490.28,2495.28,We also have fraud analysis on the autolog end line.
564,2495.28,2500.28,"In the past, for example, we detected automations, things like that."
565,2500.28,2506.28,We also compare the IPs of the leads that are coming in and the IP of the autolog end line.
566,2506.28,2516.28,"If they are not similar and it is not due to IPv4 and 6, you will also see an indicator that you should probably check something."
567,2519.28,2523.28,So that is a bit in short about our detail stop.
568,2523.28,2525.28,You have different colors.
